Season,YOS,Min Salary,Max Salary
2034-35,0 YOS,3001363.0,91162500.0
2034-35,1 YOS,4830247.0,91162500.0
2034-35,2 YOS,5414500.0,91162500.0
2034-35,3 YOS,5414500.0,91162500.0
2034-35,4 YOS,5414500.0,91162500.0
2034-35,5 YOS,5414500.0,91162500.0
2034-35,6 YOS,5414500.0,91162500.0
2034-35,7 YOS,5414500.0,109395000.0
2034-35,8 YOS,5414500.0,109395000.0
2034-35,9 YOS,5414500.0,109395000.0
2034-35,10 YOS,8569153.0,127627500.0
2034-35,11 YOS,8569153.0,127627500.0
2034-35,12 YOS,8569153.0,127627500.0
2034-35,13 YOS,8569153.0,127627500.0
2034-35,14 YOS,8569153.0,127627500.0
2034-35,15 YOS,8569153.0,127627500.0
2034-35,16 YOS,8569153.0,127627500.0
2034-35,17 YOS,8569153.0,127627500.0
2034-35,18 YOS,8569153.0,127627500.0
2034-35,19 YOS,8569153.0,127627500.0
2034-35,20 YOS,8569153.0,127627500.0
2034-35,21 YOS,8569153.0,127627500.0
2034-35,22 YOS,8569153.0,127627500.0
2033-34,0 YOS,2728512.0,82875000.0
2033-34,1 YOS,4391134.0,82875000.0
2033-34,2 YOS,4922273.0,82875000.0
2033-34,3 YOS,4922273.0,82875000.0
2033-34,4 YOS,4922273.0,82875000.0
2033-34,5 YOS,4922273.0,82875000.0
2033-34,6 YOS,4922273.0,82875000.0
2033-34,7 YOS,4922273.0,99450000.0
2033-34,8 YOS,4922273.0,99450000.0
2033-34,9 YOS,4922273.0,99450000.0
2033-34,10 YOS,7790139.0,116025000.0
2033-34,11 YOS,7790139.0,116025000.0
2033-34,12 YOS,7790139.0,116025000.0
2033-34,13 YOS,7790139.0,116025000.0
2033-34,14 YOS,7790139.0,116025000.0
2033-34,15 YOS,7790139.0,116025000.0
2033-34,16 YOS,7790139.0,116025000.0
2033-34,17 YOS,7790139.0,116025000.0
2033-34,18 YOS,7790139.0,116025000.0
2033-34,19 YOS,7790139.0,116025000.0
2033-34,20 YOS,7790139.0,116025000.0
2033-34,21 YOS,7790139.0,116025000.0
2033-34,22 YOS,7790139.0,116025000.0
2032-33,0 YOS,2480468.0,75341000.0
2032-33,1 YOS,3991945.0,75341000.0
2032-33,2 YOS,4474799.0,75341000.0
2032-33,3 YOS,4474799.0,75341000.0
2032-33,4 YOS,4474799.0,75341000.0
2032-33,5 YOS,4474799.0,75341000.0
2032-33,6 YOS,4474799.0,75341000.0
2032-33,7 YOS,4474799.0,90409200.0
2032-33,8 YOS,4474799.0,90409200.0
2032-33,9 YOS,4474799.0,90409200.0
2032-33,10 YOS,7081953.0,105477400.0
2032-33,11 YOS,7081953.0,105477400.0
2032-33,12 YOS,7081953.0,105477400.0
2032-33,13 YOS,7081953.0,105477400.0
2032-33,14 YOS,7081953.0,105477400.0
2032-33,15 YOS,7081953.0,105477400.0
2032-33,16 YOS,7081953.0,105477400.0
2032-33,17 YOS,7081953.0,105477400.0
2032-33,18 YOS,7081953.0,105477400.0
2032-33,19 YOS,7081953.0,105477400.0
2032-33,20 YOS,7081953.0,105477400.0
2032-33,21 YOS,7081953.0,105477400.0
2032-33,22 YOS,7081953.0,105477400.0
2031-32,0 YOS,2254969.0,68491750.0
2031-32,1 YOS,3629037.0,68491750.0
2031-32,2 YOS,4067995.0,68491750.0
2031-32,3 YOS,4067995.0,68491750.0
2031-32,4 YOS,4067995.0,68491750.0
2031-32,5 YOS,4067995.0,68491750.0
2031-32,6 YOS,4067995.0,68491750.0
2031-32,7 YOS,4067995.0,82190100.0
2031-32,8 YOS,4067995.0,82190100.0
2031-32,9 YOS,4067995.0,82190100.0
2031-32,10 YOS,6438133.0,95888450.0
2031-32,11 YOS,6438133.0,95888450.0
2031-32,12 YOS,6438133.0,95888450.0
2031-32,13 YOS,6438133.0,95888450.0
2031-32,14 YOS,6438133.0,95888450.0
2031-32,15 YOS,6438133.0,95888450.0
2031-32,16 YOS,6438133.0,95888450.0
2031-32,17 YOS,6438133.0,95888450.0
2031-32,18 YOS,6438133.0,95888450.0
2031-32,19 YOS,6438133.0,95888450.0
2031-32,20 YOS,6438133.0,95888450.0
2031-32,21 YOS,6438133.0,95888450.0
2031-32,22 YOS,6438133.0,95888450.0
2030-31,0 YOS,2049973.0,62265250.0
2030-31,1 YOS,3299126.0,62265250.0
2030-31,2 YOS,3698179.0,62265250.0
2030-31,3 YOS,3698179.0,62265250.0
2030-31,4 YOS,3698179.0,62265250.0
2030-31,5 YOS,3698179.0,62265250.0
2030-31,6 YOS,3698179.0,62265250.0
2030-31,7 YOS,3698179.0,74718300.0
2030-31,8 YOS,3698179.0,74718300.0
2030-31,9 YOS,3698179.0,74718300.0
2030-31,10 YOS,5852850.0,87171350.0
2030-31,11 YOS,5852850.0,87171350.0
2030-31,12 YOS,5852850.0,87171350.0
2030-31,13 YOS,5852850.0,87171350.0
2030-31,14 YOS,5852850.0,87171350.0
2030-31,15 YOS,5852850.0,87171350.0
2030-31,16 YOS,5852850.0,87171350.0
2030-31,17 YOS,5852850.0,87171350.0
2030-31,18 YOS,5852850.0,87171350.0
2030-31,19 YOS,5852850.0,87171350.0
2030-31,20 YOS,5852850.0,87171350.0
2030-31,21 YOS,5852850.0,87171350.0
2030-31,22 YOS,5852850.0,87171350.0
2029-30,0 YOS,1863611.0,56604750.0
2029-30,1 YOS,2999204.0,56604750.0
2029-30,2 YOS,3361980.0,56604750.0
2029-30,3 YOS,3361980.0,56604750.0
2029-30,4 YOS,3361980.0,56604750.0
2029-30,5 YOS,3361980.0,56604750.0
2029-30,6 YOS,3361980.0,56604750.0
2029-30,7 YOS,3361980.0,67925700.0
2029-30,8 YOS,3361980.0,67925700.0
2029-30,9 YOS,3361980.0,67925700.0
2029-30,10 YOS,5320771.0,79246650.0
2029-30,11 YOS,5320771.0,79246650.0
2029-30,12 YOS,5320771.0,79246650.0
2029-30,13 YOS,5320771.0,79246650.0
2029-30,14 YOS,5320771.0,79246650.0
2029-30,15 YOS,5320771.0,79246650.0
2029-30,16 YOS,5320771.0,79246650.0
2029-30,17 YOS,5320771.0,79246650.0
2029-30,18 YOS,5320771.0,79246650.0
2029-30,19 YOS,5320771.0,79246650.0
2029-30,20 YOS,5320771.0,79246650.0
2029-30,21 YOS,5320771.0,79246650.0
2029-30,22 YOS,5320771.0,79246650.0
2028-29,0 YOS,1694188.0,51458750.0
2028-29,1 YOS,2726543.0,51458750.0
2028-29,2 YOS,3056339.0,51458750.0
2028-29,3 YOS,3056339.0,51458750.0
2028-29,4 YOS,3056339.0,51458750.0
2028-29,5 YOS,3056339.0,51458750.0
2028-29,6 YOS,3056339.0,51458750.0
2028-29,7 YOS,3056339.0,61750500.0
2028-29,8 YOS,3056339.0,61750500.0
2028-29,9 YOS,3056339.0,61750500.0
2028-29,10 YOS,4837054.0,72042250.0
2028-29,11 YOS,4837054.0,72042250.0
2028-29,12 YOS,4837054.0,72042250.0
2028-29,13 YOS,4837054.0,72042250.0
2028-29,14 YOS,4837054.0,72042250.0
2028-29,15 YOS,4837054.0,72042250.0
2028-29,16 YOS,4837054.0,72042250.0
2028-29,17 YOS,4837054.0,72042250.0
2028-29,18 YOS,4837054.0,72042250.0
2028-29,19 YOS,4837054.0,72042250.0
2028-29,20 YOS,4837054.0,72042250.0
2028-29,21 YOS,4837054.0,72042250.0
2028-29,22 YOS,4837054.0,72042250.0
2027-28,0 YOS,1540173.0,46780750.0
2027-28,1 YOS,2478679.0,46780750.0
2027-28,2 YOS,2778494.0,46780750.0
2027-28,3 YOS,2778494.0,46780750.0
2027-28,4 YOS,2778494.0,46780750.0
2027-28,5 YOS,2778494.0,46780750.0
2027-28,6 YOS,2778494.0,46780750.0
2027-28,7 YOS,2778494.0,56136900.0
2027-28,8 YOS,2778494.0,56136900.0
2027-28,9 YOS,2778494.0,56136900.0
2027-28,10 YOS,4397328.0,65493050.0
2027-28,11 YOS,4397328.0,65493050.0
2027-28,12 YOS,4397328.0,65493050.0
2027-28,13 YOS,4397328.0,65493050.0
2027-28,14 YOS,4397328.0,65493050.0
2027-28,15 YOS,4397328.0,65493050.0
2027-28,16 YOS,4397328.0,65493050.0
2027-28,17 YOS,4397328.0,65493050.0
2027-28,18 YOS,4397328.0,65493050.0
2027-28,19 YOS,4397328.0,65493050.0
2027-28,20 YOS,4397328.0,65493050.0
2027-28,21 YOS,4397328.0,65493050.0
2027-28,22 YOS,4397328.0,65493050.0
2026-27,0 YOS,1400159.0,42528000.0
2026-27,1 YOS,2253347.0,42528000.0
2026-27,2 YOS,2525906.0,42528000.0
2026-27,3 YOS,2525906.0,42528000.0
2026-27,4 YOS,2525906.0,42528000.0
2026-27,5 YOS,2525906.0,42528000.0
2026-27,6 YOS,2525906.0,42528000.0
2026-27,7 YOS,2525906.0,51033600.0
2026-27,8 YOS,2525906.0,51033600.0
2026-27,9 YOS,2525906.0,51033600.0
2026-27,10 YOS,3997575.0,59539200.0
2026-27,11 YOS,3997575.0,59539200.0
2026-27,12 YOS,3997575.0,59539200.0
2026-27,13 YOS,3997575.0,59539200.0
2026-27,14 YOS,3997575.0,59539200.0
2026-27,15 YOS,3997575.0,59539200.0
2026-27,16 YOS,3997575.0,59539200.0
2026-27,17 YOS,3997575.0,59539200.0
2026-27,18 YOS,3997575.0,59539200.0
2026-27,19 YOS,3997575.0,59539200.0
2026-27,20 YOS,3997575.0,59539200.0
2026-27,21 YOS,3997575.0,59539200.0
2026-27,22 YOS,3997575.0,59539200.0
2025-26,0 YOS,1272870.0,38661750.0
2025-26,1 YOS,2048494.0,38661750.0
2025-26,2 YOS,2296274.0,38661750.0
2025-26,3 YOS,2296274.0,38661750.0
2025-26,4 YOS,2296274.0,38661750.0
2025-26,5 YOS,2296274.0,38661750.0
2025-26,6 YOS,2296274.0,38661750.0
2025-26,7 YOS,2296274.0,46394100.0
2025-26,8 YOS,2296274.0,46394100.0
2025-26,9 YOS,2296274.0,46394100.0
2025-26,10 YOS,3634153.0,54126450.0
2025-26,11 YOS,3634153.0,54126450.0
2025-26,12 YOS,3634153.0,54126450.0
2025-26,13 YOS,3634153.0,54126450.0
2025-26,14 YOS,3634153.0,54126450.0
2025-26,15 YOS,3634153.0,54126450.0
2025-26,16 YOS,3634153.0,54126450.0
2025-26,17 YOS,3634153.0,54126450.0
2025-26,18 YOS,3634153.0,54126450.0
2025-26,19 YOS,3634153.0,54126450.0
2025-26,20 YOS,3634153.0,54126450.0
2025-26,21 YOS,3634153.0,54126450.0
2025-26,22 YOS,3634153.0,54126450.0
2024-25,0 YOS,1157153.0,35147000.0
2024-25,1 YOS,1862265.0,35147000.0
2024-25,2 YOS,2087519.0,35147000.0
2024-25,3 YOS,2087519.0,35147000.0
2024-25,4 YOS,2087519.0,35147000.0
2024-25,5 YOS,2087519.0,35147000.0
2024-25,6 YOS,2087519.0,35147000.0
2024-25,7 YOS,2087519.0,42176400.0
2024-25,8 YOS,2087519.0,42176400.0
2024-25,9 YOS,2087519.0,42176400.0
2024-25,10 YOS,3303771.0,49205800.0
2024-25,11 YOS,3303771.0,49205800.0
2024-25,12 YOS,3303771.0,49205800.0
2024-25,13 YOS,3303771.0,49205800.0
2024-25,14 YOS,3303771.0,49205800.0
2024-25,15 YOS,3303771.0,49205800.0
2024-25,16 YOS,3303771.0,49205800.0
2024-25,17 YOS,3303771.0,49205800.0
2024-25,18 YOS,3303771.0,49205800.0
2024-25,19 YOS,3303771.0,49205800.0
2024-25,20 YOS,3303771.0,49205800.0
2024-25,21 YOS,3303771.0,49205800.0
2024-25,22 YOS,3303771.0,49205800.0
2023-24,0 YOS,1119563.0,34005250.0
2023-24,1 YOS,1801769.0,34005250.0
2023-24,2 YOS,2019706.0,34005250.0
2023-24,3 YOS,2019706.0,34005250.0
2023-24,4 YOS,2019706.0,34005250.0
2023-24,5 YOS,2019706.0,34005250.0
2023-24,6 YOS,2019706.0,34005250.0
2023-24,7 YOS,2019706.0,40806300.0
2023-24,8 YOS,2019706.0,40806300.0
2023-24,9 YOS,2019706.0,40806300.0
2023-24,10 YOS,3196448.0,47607350.0
2023-24,11 YOS,3196448.0,47607350.0
2023-24,12 YOS,3196448.0,47607350.0
2023-24,13 YOS,3196448.0,47607350.0
2023-24,14 YOS,3196448.0,47607350.0
2023-24,15 YOS,3196448.0,47607350.0
2023-24,16 YOS,3196448.0,47607350.0
2023-24,17 YOS,3196448.0,47607350.0
2023-24,18 YOS,3196448.0,47607350.0
2023-24,19 YOS,3196448.0,47607350.0
2023-24,20 YOS,3196448.0,47607350.0
2023-24,21 YOS,3196448.0,47607350.0
2023-24,22 YOS,3196448.0,47607350.0
2022-23,0 YOS,1017781.0,30913750.0
2022-23,1 YOS,1637966.0,30913750.0
2022-23,2 YOS,1836090.0,30913750.0
2022-23,3 YOS,1836090.0,30913750.0
2022-23,4 YOS,1836090.0,30913750.0
2022-23,5 YOS,1836090.0,30913750.0
2022-23,6 YOS,1836090.0,30913750.0
2022-23,7 YOS,1836090.0,37096500.0
2022-23,8 YOS,1836090.0,37096500.0
2022-23,9 YOS,1836090.0,37096500.0
2022-23,10 YOS,2905851.0,43279250.0
