id,full_name,season
76001,Alaa Abdelnaby,2023-24
76002,Zaid Abdul-Aziz,2023-24
76003,Kareem Abdul-Jabbar,2023-24
51,Mahmoud Abdul-Rauf,2023-24
1505,Tariq Abdul-Wahad,2023-24
949,Shareef Abdur-Rahim,2023-24
76005,Tom Abernethy,2023-24
76006,Forest Able,2023-24
76007,John Abramovic,2023-24
203518,Alex Abrines,2023-24
1630173,Precious Achiuwa,2023-24
101165,Alex Acker,2023-24
76008,Donald Ackerman,2023-24
76009,Mark Acres,2023-24
76010,Charles Acton,2023-24
203112,Quincy Acy,2023-24
76011,Alvan Adams,2023-24
76012,Don Adams,2023-24
200801,Hassan Adams,2023-24
1629121,Jaylen Adams,2023-24
203919,Jordan Adams,2023-24
149,Michael Adams,2023-24
203500,Steven Adams,2023-24
912,Rafael Addison,2023-24
1628389,Bam Adebayo,2023-24
1629061,Deng Adel,2023-24
76015,Rick Adelman,2023-24
202399,Jeff Adrien,2023-24
201167,Arron Afflalo,2023-24
1630534,Ochai Agbaji,2023-24
200772,Maurice Ager,2023-24
76016,Mark Aguirre,2023-24
201336,Blake Ahearn,2023-24
76017,Danny Ainge,2023-24
201582,Alexis Ajinca,2023-24
76018,Henry Akin,2023-24
203006,Josh Akognon,2023-24
1629152,DeVaughn Akoon-Purcell,2023-24
202374,Solomon Alabi,2023-24
76019,Mark Alarie,2023-24
76020,Gary Alcorn,2023-24
1630583,Santi Aldama,2023-24
203128,Furkan Aldemir,2023-24
202332,Cole Aldrich,2023-24
200746,LaMarcus Aldridge,2023-24
76021,Chuck Aleksinas,2023-24
1626146,Cliff Alexander,2023-24
724,Cory Alexander,2023-24
2042,Courtney Alexander,2023-24
76022,Gary Alexander,2023-24
201570,Joe Alexander,2023-24
1629734,Kyle Alexander,2023-24
1630234,Ty-Shon Alexander,2023-24
2349,Victor Alexander,2023-24
1629638,Nickeil Alexander-Walker,2023-24
76024,Steve Alford,2023-24
1628959,Rawle Alkins,2023-24
76028,Bob Allen,2023-24
1628960,Grayson Allen,2023-24
1628386,Jarrett Allen,2023-24
706,Jerome Allen,2023-24
1628443,Kadeem Allen,2023-24
202730,Lavoy Allen,2023-24
76027,Lucius Allen,2023-24
2124,Malik Allen,2023-24
76025,Randy Allen,2023-24
951,Ray Allen,2023-24
1641851,Timmy Allen,2023-24
2754,Tony Allen,2023-24
76029,Odis Allison,2023-24
200984,Lance Allred,2023-24
76030,Darrell Allums,2023-24
201165,Morris Almond,2023-24
308,Derrick Alston,2023-24
1747,Rafer Alston,2023-24
1824,Peter Aluma,2023-24
1630631,Jose Alvarado,2023-24
680,John Amaechi,2023-24
732,Ashraf Amaya,2023-24
202329,Al-Farouq Aminu,2023-24
200811,Lou Amundson,2023-24
76034,Bob Anderegg,2023-24
2365,Chris Andersen,2023-24
2431,David Andersen,2023-24
101187,Alan Anderson,2023-24
202079,Antonio Anderson,2023-24
76035,Cliff Anderson,2023-24
76036,Daniel Anderson,2023-24
1507,Derek Anderson,2023-24
76037,Dwight Anderson,2023-24
944,Eric Anderson,2023-24
246,Greg Anderson,2023-24
202341,James Anderson,2023-24
