TEAM_NAME,Season,PTS_Top_1_count,PTS_Top_2_count,PTS_Top_3_count,PTS_Top_4_count,PTS_Top_5_count,PTS_Top_10_count,PTS_Top_25_count,PTS_Top_50_count,AST_Top_1_count,AST_Top_2_count,AST_Top_3_count,AST_Top_4_count,AST_Top_5_count,AST_Top_10_count,AST_Top_25_count,AST_Top_50_count,TOV_Top_1_count,TOV_Top_2_count,TOV_Top_3_count,TOV_Top_4_count,TOV_Top_5_count,TOV_Top_10_count,TOV_Top_25_count,TOV_Top_50_count,STL_Top_1_count,STL_Top_2_count,STL_Top_3_count,STL_Top_4_count,STL_Top_5_count,STL_Top_10_count,STL_Top_25_count,STL_Top_50_count,BLK_Top_1_count,BLK_Top_2_count,BLK_Top_3_count,BLK_Top_4_count,BLK_Top_5_count,BLK_Top_10_count,BLK_Top_25_count,BLK_Top_50_count,OREB_Top_1_count,OREB_Top_2_count,OREB_Top_3_count,OREB_Top_4_count,OREB_Top_5_count,OREB_Top_10_count,OREB_Top_25_count,OREB_Top_50_count,DREB_Top_1_count,DREB_Top_2_count,DREB_Top_3_count,DREB_Top_4_count,DREB_Top_5_count,DREB_Top_10_count,DREB_Top_25_count,DREB_Top_50_count,FGM_Top_1_count,FGM_Top_2_count,FGM_Top_3_count,FGM_Top_4_count,FGM_Top_5_count,FGM_Top_10_count,FGM_Top_25_count,FGM_Top_50_count,FG3M_Top_1_count,FG3M_Top_2_count,FG3M_Top_3_count,FG3M_Top_4_count,FG3M_Top_5_count,FG3M_Top_10_count,FG3M_Top_25_count,FG3M_Top_50_count,FGA_Top_1_count,FGA_Top_2_count,FGA_Top_3_count,FGA_Top_4_count,FGA_Top_5_count,FGA_Top_10_count,FGA_Top_25_count,FGA_Top_50_count
Boston Celtics,2023-24,0,1,1,2,2,3,5,8,0,0,0,0,0,3,6,7,0,0,0,0,0,2,5,5,0,0,0,0,0,1,4,9,0,1,1,1,2,4,8,11,0,0,0,0,0,2,7,12,0,0,1,1,1,3,6,9,0,2,2,2,2,3,5,8,0,1,1,2,3,4,8,10,0,1,2,2,2,2,5,8
Cleveland Cavaliers,2015-16,0,1,1,1,1,2,5,9,0,0,1,1,1,3,3,8,0,0,1,1,1,2,4,7,0,0,0,0,0,1,5,7,1,1,1,1,1,1,5,9,0,1,1,1,1,2,4,7,0,1,1,1,1,3,4,7,1,1,1,1,1,2,5,10,0,0,0,1,1,2,4,11,0,0,1,1,2,3,5,9
Denver Nuggets,2022-23,0,0,1,1,1,3,6,9,1,1,1,2,2,2,6,9,0,1,1,1,1,2,5,10,0,0,0,0,1,2,4,8,0,0,0,0,0,0,4,11,0,0,0,0,2,2,4,10,1,1,1,1,1,1,4,6,0,1,1,1,1,4,5,9,0,1,1,2,2,3,4,9,0,0,0,0,0,2,5,9
Golden State Warriors,2014-15,0,0,1,1,2,2,3,8,0,1,1,1,1,1,6,9,0,0,1,1,1,1,4,8,1,1,1,2,2,2,4,10,0,1,1,1,2,3,6,9,0,0,0,0,0,1,6,8,0,0,0,1,1,2,5,8,0,0,0,1,2,2,3,9,1,2,2,2,2,2,3,5,0,0,0,0,2,2,3,8
Golden State Warriors,2016-17,0,1,2,3,3,3,3,6,0,0,2,2,2,3,4,9,0,0,0,1,1,3,4,7,1,2,2,2,2,2,4,8,0,0,1,2,2,3,7,12,0,0,0,0,0,1,3,13,0,0,1,2,2,2,5,8,0,0,2,3,3,3,3,7,2,2,2,2,2,2,3,7,0,0,1,2,3,3,3,5
Golden State Warriors,2017-18,0,2,2,2,2,3,3,6,0,1,1,1,2,3,6,11,0,0,0,3,3,3,4,9,0,0,1,1,1,2,2,9,0,1,1,2,2,5,7,10,0,0,0,0,0,0,2,8,0,0,0,1,2,2,3,9,0,1,1,2,3,3,3,6,1,2,2,2,3,3,5,6,0,0,1,1,2,3,3,6
Golden State Warriors,2021-22,0,1,1,1,1,4,4,9,0,0,1,2,2,2,5,11,0,0,1,2,2,3,4,10,0,0,0,0,0,3,6,11,0,0,0,0,0,1,5,11,0,0,0,0,1,1,3,8,0,0,0,0,1,1,4,12,0,0,0,1,2,3,4,9,2,2,3,3,3,4,4,9,0,1,1,2,2,4,4,7
Los Angeles Lakers,2019-20,0,2,2,2,2,2,4,9,1,1,1,1,1,2,3,9,1,1,1,1,1,2,5,10,0,0,0,0,1,3,6,9,1,1,1,2,2,3,5,9,0,0,0,0,1,3,5,8,0,0,1,2,2,2,5,8,0,1,2,2,2,2,4,11,0,0,0,0,0,1,4,12,0,1,1,2,2,2,4,9
Milwaukee Bucks,2020-21,1,1,1,1,1,3,5,9,0,0,0,0,2,3,7,7,1,2,2,2,2,3,4,9,0,0,1,1,1,2,4,9,0,0,1,1,2,3,4,11,0,0,0,0,0,3,7,13,1,1,1,1,1,3,7,9,1,1,1,1,1,3,6,9,0,0,0,0,0,2,8,14,0,0,1,1,1,3,4,9
Toronto Raptors,2018-19,0,1,1,1,1,1,5,12,1,1,1,1,1,2,5,10,0,0,0,0,1,1,4,11,0,1,1,1,1,2,7,10,0,0,0,1,1,2,6,11,0,0,0,0,0,1,5,11,0,0,0,0,0,5,6,10,0,1,1,1,1,2,5,12,0,0,0,0,0,2,4,12,0,1,1,1,1,1,5,12
