Player,Salary,Season
Stephen Curry,51915615,2023-24
Kevin Durant,47649433,2023-24
Nikola Jokic,47607350,2023-24
LeBron James,47607350,2023-24
Joel Embiid,47607350,2023-24
Bradley Beal,46741590,2023-24
Paul George,45640084,2023-24
Kawhi Leonard,45640084,2023-24
Giannis Antetokounmpo,45640084,2023-24
Damian Lillard,45640084,2023-24
Jimmy Butler,45183960,2023-24
Klay Thompson,43219440,2023-24
Rudy Gobert,41000000,2023-24
Fred VanVleet,40806300,2023-24
Anthony Davis,40600080,2023-24
Trae Young,40064220,2023-24
Zach LaVine,40064220,2023-24
Luka Doncic,40064220,2023-24
Tobias Harris,39270150,2023-24
Kyrie Irving,38037037,2023-24
Ben Simmons,37893408,2023-24
Pascal Siakam,37893408,2023-24
Jrue Holiday,37620347,2023-24
Kristaps Porzingis,36016200,2023-24
Karl-Anthony Towns,36016200,2023-24
Devin Booker,36016200,2023-24
CJ McCollum,35802469,2023-24
James Harden,35680595,2023-24
Darius Garland,34005250,2023-24
Ja Morant,34005250,2023-24
Zion Williamson,34005250,2023-24
Jamal Murray,33833400,2023-24
Brandon Ingram,33833400,2023-24
Michael Porter,33386850,2023-24
Shai Gilgeous-Alexander,33386850,2023-24
Gordon Hayward,33319397,2023-24
Donovan Mitchell,33162030,2023-24
Jayson Tatum,32600060,2023-24
Bam Adebayo,32600060,2023-24
De'Aaron Fox,32600060,2023-24
Deandre Ayton,32459438,2023-24
Jaylen Brown,31830357,2023-24
Chris Paul,30800000,2023-24
Kyle Lowry,29682540,2023-24
Khris Middleton,29320988,2023-24
Domantas Sabonis,29300000,2023-24
DeMar DeRozan,28600000,2023-24
Jordan Poole,27955357,2023-24
Jerami Grant,27586207,2023-24
Jaren Jackson Jr,27102202,2023-24
Tyler Herro,27000000,2023-24
Julius Randle,26943840,2023-24
Jalen Brunson,26346666,2023-24
Cameron Johnson,25679348,2023-24
Kyle Kuzma,25568182,2023-24
John Collins,25340000,2023-24
Brook Lopez,25000000,2023-24
Mike Conley,24360000,2023-24
Andrew Wiggins,24330357,2023-24
Anfernee Simons,24107143,2023-24
RJ Barrett,23883929,2023-24
Jordan Clarkson,23487629,2023-24
Terry Rozier,23205221,2023-24
Dillon Brooks,22627671,2023-24
Malcolm Brogdon,22500000,2023-24
Draymond Green,22321429,2023-24
Bruce Brown,22000000,2023-24
Mikal Bridges,21700000,2023-24
Aaron Gordon,21266182,2023-24
Myles Turner,20975000,2023-24
Clint Capela,20616000,2023-24
Lonzo Ball,20465117,2023-24
Spencer Dinwiddie,20411797,2023-24
De'Andre Hunter,20089286,2023-24
Jarrett Allen,20000000,2023-24
Bojan Bogdanovic,20000000,2023-24
Keldon Johnson,20000000,2023-24
Joe Harris,19928571,2023-24
Jakob Poeltl,19500000,2023-24
Buddy Hield,19321859,2023-24
Derrick White,18857143,2023-24
Evan Fournier,18857143,2023-24
Bogdan Bogdanovic,18700000,2023-24
OG Anunoby,18642857,2023-24
Marcus Smart,18583713,2023-24
Gary Trent Jr,18560000,2023-24
Nikola Vucevic,18518519,2023-24
Dejounte Murray,18214000,2023-24
Duncan Robinson,18154000,2023-24
Norman Powell,18000000,2023-24
Tim Hardaway Jr,17897728,2023-24
Marcus Morris,17612280,2023-24
Collin Sexton,17525000,2023-24
Jonathan Isaac,17400000,2023-24
D'Angelo Russell,17307693,2023-24
Lauri Markkanen,17259999,2023-24
Davis Bertans,17000000,2023-24
Markelle Fultz,17000000,2023-24
Harrison Barnes,17000000,2023-24
Jusuf Nurkic,16875000,2023-24
PJ Washington,16847826,2023-24
Kevin Porter,15860000,2023-24
Rui Hachimura,15740741,2023-24
Mitchell Robinson,15681818,2023-24
Kevin Huerter,15669643,2023-24
Jonas Valanciunas,15435000,2023-24
Caris LeVert,15384616,2023-24
Luguentz Dort,15277778,2023-24
Luke Kennard,14763636,2023-24
Kentavious Caldwell-Pope,14704938,2023-24
Max Strus,14487684,2023-24
Reggie Bullock,14210528,2023-24
Doug McDermott,14000000,2023-24
Tyus Jones,14000000,2023-24
Dorian Finney-Smith,13932008,2023-24
Anthony Edwards,13534817,2023-24
Wendell Carter,13050000,2023-24
Gary Harris,13000000,2023-24
Josh Hart,12960000,2023-24
