,min,max,mean,std,above_average,total_players
PTS,0.9259259259259258,99.76851851851852,51.662984502426845,29.187720173065983,63.0,130.0
AST,0.6944444444444444,100.0,50.47340721082762,30.10516810874229,60.0,130.0
OREB,0.6896551724137931,99.62311557788944,52.458703850453276,27.47994432118866,74.0,130.0
DREB,0.8101851851851851,99.77064220183486,53.11858003129091,29.00623262369057,68.0,130.0
FG3M,3.4736842105263155,100.0,55.15573015812672,29.671005451466716,73.0,130.0
FG3_PCT,3.4736842105263155,99.88738738738738,58.08472225854032,28.744897526317157,83.0,130.0
FGM,0.9259259259259258,99.74874371859298,51.50467720313041,28.723288888287374,67.0,130.0
FG_PCT,1.0526315789473684,99.7752808988764,54.80180822514428,27.481678872083638,73.0,130.0
FTM,0.628140703517588,100.0,48.36489005586817,29.152540822552137,59.0,130.0
FT_PCT,0.628140703517588,99.3103448275862,52.604095078249294,30.685273293502433,70.0,130.0
