id,full_name,season
1630173,Precious Achiuwa,2023-24
203500,Steven Adams,2023-24
1628389,Bam Adebayo,2023-24
1630534,Ochai Agbaji,2023-24
1630583,Santi Aldama,2023-24
1629638,Nickeil Alexander-Walker,2023-24
1628960,Grayson Allen,2023-24
1628386,Jarrett Allen,2023-24
1641851,Timmy Allen,2023-24
1630631,Jose Alvarado,2023-24
203937,Kyle Anderson,2023-24
203507,Giannis Antetokounmpo,2023-24
203648,Thanasis Antetokounmpo,2023-24
1630175,Cole Anthony,2023-24
1628384,OG Anunoby,2023-24
1627853,Ryan Arcidiacono,2023-24
1630166,Deni Avdija,2023-24
1629028,Deandre Ayton,2023-24
1628962,Udoka Azubuike,2023-24
1630641,Ibou Badji,2023-24
1628963,Marvin Bagley III,2023-24
1641735,Amari Bailey,2023-24
1631116,Patrick Baldwin Jr.,2023-24
1630163,LaMelo Ball,2023-24
1628366,Lonzo Ball,2023-24
1628964,Mo Bamba,2023-24
1631094,Paolo Banchero,2023-24
1630217,Desmond Bane,2023-24
1630625,Dalano Banton,2023-24
1631230,Dominick Barlow,2023-24
203084,Harrison Barnes,2023-24
1630567,Scottie Barnes,2023-24
1629628,RJ Barrett,2023-24
1629646,Charles Bassey,2023-24
1641734,Emoni Bates,2023-24
1628966,Keita Bates-Diop,2023-24
201587,Nicolas Batum,2023-24
1629647,Darius Bazley,2023-24
203078,Bradley Beal,2023-24
1627736,Malik Beasley,2023-24
1630699,MarJon Beauchamp,2023-24
1631262,Jules Bernard,2023-24
202722,Davis Bertans,2023-24
201976,Patrick Beverley,2023-24
1630180,Saddiq Bey,2023-24
1629048,Goga Bitadze,2023-24
1641931,Onuralp Bitim,2023-24
202687,Bismack Biyombo,2023-24
1641710,Anthony Black,2023-24
1641778,Leaky Black,2023-24
1631205,Buddy Boeheim,2023-24
203992,Bogdan Bogdanovic,2023-24
202711,Bojan Bogdanovic,2023-24
1629626,Bol Bol,2023-24
1629716,Marques Bolden,2023-24
1626164,Devin Booker,2023-24
1630527,Brandon Boston Jr.,2023-24
1628449,Chris Boucher,2023-24
1630547,James Bouknight,2023-24
1631123,Jamaree Bouyea,2023-24
1631103,Malaki Branham,2023-24
1631128,Christian Braun,2023-24
1628969,Mikal Bridges,2023-24
1628970,Miles Bridges,2023-24
1629052,Oshae Brissett,2023-24
1631167,Izaiah Brockington,2023-24
1627763,Malcolm Brogdon,2023-24
1629717,Armoni Brooks,2023-24
1628415,Dillon Brooks,2023-24
1628971,Bruce Brown,2023-24
1627759,Jaylen Brown,2023-24
1631112,Kendall Brown,2023-24
1641738,Kobe Brown,2023-24
1629650,Moses Brown,2023-24
1630535,Greg Brown III,2023-24
1629718,Charlie Brown Jr.,2023-24
1628972,Troy Brown Jr.,2023-24
1628973,Jalen Brunson,2023-24
1628418,Thomas Bryant,2023-24
1641723,Kobe Bufkin,2023-24
203493,Reggie Bullock Jr.,2023-24
202692,Alec Burks,2023-24
1630215,Jared Butler,2023-24
202710,Jimmy Butler,2023-24
1631288,Jamal Cain,2023-24
203484,Kentavious Caldwell-Pope,2023-24
1641739,Toumani Camara,2023-24
1628427,Vlatko Cancar,2023-24
203991,Clint Capela,2023-24
1628975,Jevon Carter,2023-24
1628976,Wendell Carter Jr.,2023-24
1630618,D.J. Carton,2023-24
1627936,Alex Caruso,2023-24
1630658,Colin Castleton,2023-24
1630608,Malcolm Cazalon,2023-24
1630577,Julian Champagnie,2023-24
1630551,Justin Champagnie,2023-24
1631108,Max Christie,2023-24
1631321,Sidy Cissoko,2023-24
1641740,Jaylen Clark,2023-24
1629634,Brandon Clarke,2023-24
203903,Jordan Clarkson,2023-24
1629651,Nic Claxton,2023-24
1641730,Noah Clowney,2023-24
1629599,Amir Coffey,2023-24
1628381,John Collins,2023-24
1628380,Zach Collins,2023-24
201144,Mike Conley,2023-24
1626192,Pat Connaughton,2023-24
1641731,Bilal Coulibaly,2023-24
1641741,Ricky Council IV,2023-24
203496,Robert Covington,2023-24
1628470,Torrey Craig,2023-24
203109,Jae Crowder,2023-24
1630622,Jalen Crutcher,2023-24
1630595,Cade Cunningham,2023-24
203552,Seth Curry,2023-24
201939,Stephen Curry,2023-24
1630700,Dyson Daniels,2023-24
203076,Anthony Davis,2023-24
1631098,Johnny Davis,2023-24
1631120,JD Davison,2023-24
201942,DeMar DeRozan,2023-24
1641926,Dexter Dennis,2023-24
1628978,Donte DiVincenzo,2023-24
1631217,Moussa Diabate,2023-24
1629603,Mamadi Diakite,2023-24
1628977,Hamidou Diallo,2023-24
1641711,Gradey Dick,2023-24
1631172,Ousmane Dieng,2023-24
203915,Spencer Dinwiddie,2023-24
1629029,Luka Doncic,2023-24
1629652,Luguentz Dort,2023-24
1630245,Ayo Dosunmu,2023-24
1630288,Jeff Dowtin Jr.,2023-24
1630929,Henri Drell,2023-24
203083,Andre Drummond,2023-24
1630537,Chris Duarte,2023-24
1630561,David Duke Jr.,2023-24
1627739,Kris Dunn,2023-24
201142,Kevin Durant,2023-24
1631105,Jalen Duren,2023-24
1631106,Tari Eason,2023-24
1630162,Anthony Edwards,2023-24
1630556,Kessler Edwards,2023-24
1631165,Keon Ellis,2023-24
203954,Joel Embiid,2023-24
1629234,Drew Eubanks,2023-24
1641787,Tosan Evbuomwan,2023-24
203957,Dante Exum,2023-24
1628981,Bruno Fernando,2023-24
1627827,Dorian Finney-Smith,2023-24
1641745,Adam Flagler,2023-24
1630201,Malachi Flynn,2023-24
1631323,Simone Fontecchio,2023-24
1630259,Jordan Ford,2023-24
1630235,Trent Forrest,2023-24
203095,Evan Fournier,2023-24
1628368,De'Aaron Fox,2023-24
1631241,Javon Freeman-Liberty,2023-24
1641788,Alex Fudge,2023-24
1628365,Markelle Fultz,2023-24
1641847,Andrew Funk,2023-24
1629117,Wenyen Gabriel,2023-24
1629655,Daniel Gafford,2023-24
201568,Danilo Gallinari,2023-24
1641945,Jaylin Galloway,2023-24
1629636,Darius Garland,2023-24
1630586,Usman Garuba,2023-24
1630568,Luka Garza,2023-24
1629232,Kaiser Gates,2023-24
1641718,Keyonte George,2023-24
202331,Paul George,2023-24
201959,Taj Gibson,2023-24
1630581,Josh Giddey,2023-24
1628385,Harry Giles III,2023-24
1628983,Shai Gilgeous-Alexander,2023-24
1630264,Anthony Gill,2023-24
1631221,Collin Gillespie,2023-24
1631367,Jacob Gilyard,2023-24
203497,Rudy Gobert,2023-24
1630692,Jordan Goodwin,2023-24
203932,Aaron Gordon,2023-24
201569,Eric Gordon,2023-24
1628984,Devonte' Graham,2023-24
203924,Jerami Grant,2023-24
1630564,RaiQuan Gray,2023-24
1631260,AJ Green,2023-24
201980,Danny Green,2023-24
203110,Draymond Green,2023-24
1630224,Jalen Green,2023-24
1629750,Javonte Green,2023-24
201145,Jeff Green,2023-24
1630182,Josh Green,2023-24
1631100,AJ Griffin,2023-24
1629656,Quentin Grimes,2023-24
1631338,Mouhamadou Gueye,2023-24
1631243,Mouhamed Gueye,2023-24
1629060,Rui Hachimura,2023-24
1630204,Ashton Hagans,2023-24
1630169,Tyrese Haliburton,2023-24
1630181,R.J. Hampton,2023-24
203501,Tim Hardaway Jr.,2023-24
201935,James Harden,2023-24
1630702,Jaden Hardy,2023-24
1631199,Ron Harper Jr.,2023-24
203914,Gary Harris,2023-24
203925,Joe Harris,2023-24
1630284,Kevon Harris,2023-24
202699,Tobias Harris,2023-24
1627885,Shaquille Harrison,2023-24
1628404,Josh Hart,2023-24
1628392,Isaiah Hartenstein,2023-24
1630573,Sam Hauser,2023-24
1641722,Jordan Hawkins,2023-24
1629637,Jaxson Hayes,2023-24
1630165,Killian Hayes,2023-24
202330,Gordon Hayward,2023-24
1630703,Scoot Henderson,2023-24
1641707,Taylor Hendricks,2023-24
1629639,Tyler Herro,2023-24
1627741,Buddy Hield,2023-24
1629312,Haywood Highsmith,2023-24
1630792,Malcolm Hill,2023-24
1630207,Nate Hinton,2023-24
1641793,D'Moi Hodge,2023-24
1628988,Aaron Holiday,2023-24
201950,Jrue Holiday,2023-24
203200,Justin Holiday,2023-24
1626158,Richaun Holmes,2023-24
1631096,Chet Holmgren,2023-24
1641720,Jalen Hood-Schifino,2023-24
201143,Al Horford,2023-24
1629659,Talen Horton-Tucker,2023-24
1627863,Danuel House Jr.,2023-24
1631216,Caleb Houstan,2023-24
1641724,Jett Howard,2023-24
1628989,Kevin Huerter,2023-24
1630643,Jay Huff,2023-24
1629631,De'Andre Hunter,2023-24
1630562,Matt Hurt,2023-24
1630538,Bones Hyland,2023-24
204060,Joe Ingles,2023-24
1627742,Brandon Ingram,2023-24
202681,Kyrie Irving,2023-24
1628371,Jonathan Isaac,2023-24
1631093,Jaden Ivey,2023-24
1641713,GG Jackson,2023-24
1630543,Isaiah Jackson,2023-24
1628382,Justin Jackson,2023-24
1631245,Quenton Jackson,2023-24
202704,Reggie Jackson,2023-24
1641748,Andre Jackson Jr.,2023-24
1628991,Jaren Jackson Jr.,2023-24
1631218,Trayce Jackson-Davis,2023-24
2544,LeBron James,2023-24
1631170,Jaime Jaquez Jr.,2023-24
1630610,DeJon Jarreau,2023-24
1629610,DaQuan Jeffries,2023-24
1641998,Trey Jemison,2023-24
1629660,Ty Jerome,2023-24
1630198,Isaiah Joe,2023-24
1629661,Cameron Johnson,2023-24
1630552,Jalen Johnson,2023-24
201949,James Johnson,2023-24
1629640,Keldon Johnson,2023-24
1630553,Keon Johnson,2023-24
1641749,Keyontae Johnson,2023-24
203999,Nikola Jokic,2023-24
1641732,Colby Jones,2023-24
1627745,Damian Jones,2023-24
1630529,Herbert Jones,2023-24
1630539,Kai Jones,2023-24
1630222,Mason Jones,2023-24
1630200,Tre Jones,2023-24
1626145,Tyus Jones,2023-24
1627884,Derrick Jones Jr.,2023-24
201599,DeAndre Jordan,2023-24
202709,Cory Joseph,2023-24
1631107,Nikola Jovic,2023-24
1630548,Johnny Juzang,2023-24
1628379,Luke Kennard,2023-24
1631117,Walker Kessler,2023-24
1630296,Braxton Key,2023-24
1630557,Corey Kispert,2023-24
1628467,Maxi Kleber,2023-24
1628995,Kevin Knox II,2023-24
1629723,John Konchar,2023-24
1627788,Furkan Korkmaz,2023-24
1628436,Luke Kornet,2023-24
1630249,Vit Krejci,2023-24
1630228,Jonathan Kuminga,2023-24
1628398,Kyle Kuzma,2023-24
1631222,Jake LaRavia,2023-24
203897,Zach LaVine,2023-24
1629111,Jock Landale,2023-24
1630639,A.J. Lawson,2023-24
1627747,Caris LeVert,2023-24
1627814,Damion Lee,2023-24
1630240,Saben Lee,2023-24
203458,Alex Len,2023-24
202695,Kawhi Leonard,2023-24
1641721,Maxwell Lewis,2023-24
1630184,Kira Lewis Jr.,2023-24
1630604,E.J. Liddell,2023-24
203081,Damian Lillard,2023-24
1629642,Nassir Little,2023-24
1641726,Dereck Lively II,2023-24
1630587,Isaiah Livers,2023-24
1641753,Chris Livingston,2023-24
1631254,Kenneth Lofton Jr.,2023-24
1626172,Kevon Looney,2023-24
201572,Brook Lopez,2023-24
201577,Robin Lopez,2023-24
201567,Kevin Love,2023-24
200768,Kyle Lowry,2023-24
1641754,Seth Lundy,2023-24
1626168,Trey Lyles,2023-24
1630177,Theo Maledon,2023-24
1630572,Sandro Mamukelashvili,2023-24
1629611,Terance Mann,2023-24
1630544,Tre Mann,2023-24
1626246,Boban Marjanovic,2023-24
1628374,Lauri Markkanen,2023-24
1630230,Naji Marshall,2023-24
1628997,Caleb Martin,2023-24
1628998,Cody Martin,2023-24
1641798,Jaylen Martin,2023-24
1630231,KJ Martin,2023-24
1629726,Garrison Mathews,2023-24
1631097,Bennedict Mathurin,2023-24
202083,Wesley Matthews,2023-24
1630178,Tyrese Maxey,2023-24
1630219,Skylar Mays,2023-24
1630540,Miles McBride,2023-24
203468,CJ McCollum,2023-24
204456,T.J. McConnell,2023-24
1630183,Jaden McDaniels,2023-24
1629667,Jalen McDaniels,2023-24
203926,Doug McDermott,2023-24
201580,JaVale McGee,2023-24
1631121,Bryce McGowens,2023-24
1629162,Jordan McLaughlin,2023-24
1629001,De'Anthony Melton,2023-24
1641877,Nathan Mensah,2023-24
1630241,Sam Merrill,2023-24
1629002,Chimezie Metu,2023-24
203995,Vasilije Micic,2023-24
203114,Khris Middleton,2023-24
1641706,Brandon Miller,2023-24
1641757,Jordan Miller,2023-24
1631159,Leonard Miller,2023-24
201988,Patty Mills,2023-24
1629003,Shake Milton,2023-24
1631303,Justin Minaya,2023-24
1631169,Josh Minott,2023-24
1630558,Davion Mitchell,2023-24
1628378,Donovan Mitchell,2023-24
1630596,Evan Mobley,2023-24
1630600,Isaiah Mobley,2023-24
1628370,Malik Monk,2023-24
1630541,Moses Moody,2023-24
1629875,Xavier Moon,2023-24
1631386,Taze Moore,2023-24
1631111,Wendell Moore Jr.,2023-24
1629630,Ja Morant,2023-24
202693,Markieff Morris,2023-24
1628420,Monte Morris,2023-24
202694,Marcus Morris Sr.,2023-24
1630530,Trey Murphy III,2023-24
1627749,Dejounte Murray,2023-24
1627750,Jamal Murray,2023-24
1631099,Keegan Murray,2023-24
1631200,Kris Murray,2023-24
203488,Mike Muscala,2023-24
1629004,Svi Mykhailiuk,2023-24
1631250,Pete Nance,2023-24
1626204,Larry Nance Jr.,2023-24
1629614,Andrew Nembhard,2023-24
1630174,Aaron Nesmith,2023-24
1627777,Georges Niang,2023-24
1630227,Daishen Nix,2023-24
1630192,Zeke Nnaji,2023-24
1629669,Jaylen Nowell,2023-24
1641806,Markquis Nowell,2023-24
1628373,Frank Ntilikina,2023-24
203994,Jusuf Nurkic,2023-24
1629670,Jordan Nwora,2023-24
1626220,Royce O'Neale,2023-24
1629643,Chuma Okeke,2023-24
1629006,Josh Okogie,2023-24
1630168,Onyeka Okongwu,2023-24
1630171,Isaac Okoro,2023-24
203482,Kelly Olynyk,2023-24
1630647,Eugene Omoruyi,2023-24
1626224,Cedi Osman,2023-24
1626162,Kelly Oubre Jr.,2023-24
101108,Chris Paul,2023-24
1626166,Cameron Payne,2023-24
